Site,SubSite,CaptureDate,Species,PondLocation,IndividualID,Sex,Age,MassG,SVLmm,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead,Temp,Temp_1w,Temp_2w,Temp_3w,Temp_4w,Air_Max,Air_Max1,Air_Max2,Air_Max3,Air_Max4
SPR,1,5/16/2019,NOVI,T59,OXYBXX,M,,,37,Y,1,1800501105,,,UNKNOWN CODE,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/14/2021,NOVI,T20,YXXBOX,M,,,38,Y,0,1802401013,pos,4391.203513,,10.8,,0,,,,,,,,,,,,
SPR,1,5/21/2020,NOVI,T9,BBBBYY,M,,,,Y,0,1802400106,pos,8446.072842,,13.7,,0,,,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857
SPR,1,5/21/2020,NOVI,D9,OBYXRX,M,,,,Y,0,1802400107,pos,938.2178837,,13.7,,0,,,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857
SPR,1,5/21/2020,NOVI,D12,BBXOXY,M,,,,Y,0,1802400114,pos,17177.72627,,14.1,,0,,,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857
SPR,1,5/21/2020,NOVI,D11,XRXBBX,M,,,,Y,0,1802400111,pos,34097.63894,,14.3,,0,,,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857
SPR,1,5/21/2020,NOVI,D9,XOXBXX,M,,,,Y,0,1802400119,pos,382.6538335,,14.3,,0,,,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857
SPR,1,5/21/2020,NOVI,D12,OBXBBX,M,,,,Y,0,1802400113,pos,60.1936866,,15,,0,,,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857
SPR,1,5/21/2020,NOVI,D59,OBXOXY,M,,,,Y,0,1802400116,neg,0,,16.7,,0,,,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857
SPR,1,5/21/2020,NOVI,D59,ROXOXY,F,,,,Y,0,1802400123,pos,298.4466659,,16.7,,0,,,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857
SPR,1,5/21/2020,NOVI,D59,RBXBXX,M,,,,Y,0,1802400117,neg,0,,16.8,,0,,,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857
SPR,1,5/21/2020,NOVI,D59,RXXXXY.a,M,,,,Y,0,1802400122,pos,1266.993778,,16.8,,0,,,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857
SPR,1,5/22/2020,NOVI,D56,OYXXXO,F,,,,Y,0,1802400434,pos,5539.883653,,17,,0,,,13.07961591,11.90748268,8.876436472,9.975883117,7.463122511,25.6,21.98571429,14.6,17.84285714,12.31428571
SPR,1,5/22/2020,NOVI,D57,YYXXXR,F,,,,Y,0,1802400433,pos,95816.62356,,17.2,,0,,,13.07961591,11.90748268,8.876436472,9.975883117,7.463122511,25.6,21.98571429,14.6,17.84285714,12.31428571
SPR,1,5/21/2020,NOVI,D12,XORXRR,M,,,,Y,0,1802400124,pos,3483.593285,,17.5,,0,,,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857
SPR,1,5/22/2020,NOVI,D57,RBXXO,F,,,,Y,0,1802400429,pos,1421.65211,,17.6,,0,,,13.07961591,11.90748268,8.876436472,9.975883117,7.463122511,25.6,21.98571429,14.6,17.84285714,12.31428571
SPR,1,5/21/2020,NOVI,D57,OBOYXX,M,,,,Y,0,1802400125,pos,2835.858881,,17.8,,0,,,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857
SPR,1,5/21/2020,NOVI,D12,RYXXXX,M,,,,Y,0,1802400112,pos,3106.804249,,17.9,,0,,,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857
SPR,1,5/22/2020,NOVI,D56,YBXXXO,F,,,,Y,0,1802400427,pos,644.4668085,,19.2,,0,,,13.07961591,11.90748268,8.876436472,9.975883117,7.463122511,25.6,21.98571429,14.6,17.84285714,12.31428571
SPR,1,6/5/2020,NOVI,,XBBYRX,M,,,,Y,0,1802401276,pos,13947.83685,,?,,0,,,15.4807947,13.94424935,13.64296061,11.90748268,8.876436472,32.2,23.25714286,25.77142857,22.47142857,14.6
SPR,1,5/6/2020,NOVI,T26,YXYYRX,M,,,,Y,0,1802300193,pos,541.6695731,,1 + 3 Y very small,,0,,,9.150875758,9.594672403,6.841844805,7.172046429,7.289631494,15,18.1,11.67142857,9.842857143,11.5
SPR,1,5/18/2020,NOVI,D39,RYXBBX,M,,,,Y,0,1802300262,pos,1113.137677,,10.0 C,,0,,,11.42555758,10.43443474,9.470920238,8.51762013,6.898963312,21.1,17.7,14.98571429,15.1,12.3
SPR,1,5/22/2020,NOVI,D43,XOYXXB,M,,,,Y,0,1802401162,pos,45038.1979,,10.0 C,,0,,,13.07961591,11.90748268,8.876436472,9.975883117,7.463122511,25.6,21.98571429,14.6,17.84285714,12.31428571
SPR,1,6/1/2020,NOVI,D45,XXYBXB,F,,,,Y,0,1802400153,pos,2834.657546,,10.0 C,,0,,,12.91973561,14.39997857,12.3454671,10.43443474,9.470920238,18.9,25.7,23.01428571,19.75714286,14.98571429
SPR,1,6/1/2020,NOVI,D41,XBOBBR,M,,,,Y,0,1802400160,pos,1809.597019,,10.0 C,,0,,,12.91973561,14.39997857,12.3454671,10.43443474,9.470920238,18.9,25.7,23.01428571,19.75714286,14.98571429
SPR,1,5/14/2021,NOVI,D25,YYXXRB,M,,,40,Y,0,2100800115,pos,5049.546806,,10.0c,,0,,,,,,,,,,,,
SPR,1,5/24/2021,NOVI,D43,OOXYOX,F,,,38,Y,0,2101600358,pos,11369.03353,,10.0c,,0,,,,,,,,,,,,
SPR,1,5/24/2021,NOVI,D43,OYXYXB,M,,,38,Y,0,2101600368,pos,7678.19103,,10.0c,,0,,,,,,,,,,,,
SPR,1,5/24/2021,NOVI,D33,YYXYXY,F,,,30,Y,0,2101600348,pos,13171.8806,,10.0c,,0,,,,,,,,,,,,
SPR,1,5/19/2020,NOVI,D47,XYXYXR,F,,,,Y,0,1802300314,pos,3140.349639,,10.1 C,,0,,,11.42402727,10.87384751,9.010644372,9.220036364,6.685658117,18.9,19.75714286,13.88571429,17,11.5
SPR,1,6/2/2020,NOVI,D46,RBYBBR,F,,,,Y,0,1802400167,pos,2082.201907,,10.1 C,,0,,,12.12670303,14.4471395,12.51176017,10.87384751,9.010644372,17.8,25.07142857,23.32857143,20.07142857,13.88571429
