"","Mark","JD","bd_load","log_bd_load"
"468",1564,187,305.7990471,5.72619296355607
"469",1573,188,1949.01922,7.57559450791948
"470",1575,106,0,0
"471",1576,162,115643.6614,11.6582775048993
"472",1580,106,0,0
"473",1580,166,51855.39251,10.8562334945829
"474",1587,99,0,0
"475",1597,162,99408.13415,11.5069992812799
"476",1598,106,0,0
"477",1613,159,244215.9909,12.4058124160434
"478",1619,162,4261.491325,8.35760908639909
"479",1626,159,0,0
"480",1639,159,240418.2048,12.3901393653076
"481",1642,140,512.5814103,6.24140855682195
"482",1646,162,2425.574633,7.79423592584188
"483",1650,162,0,0
"484",1657,159,660472.2796,13.4007119473192
"485",1659,92,0,0
"486",1659,139,6279.927419,8.74527292674361
"487",1659,166,391886.5033,12.878730096208
"488",1662,162,5755.374582,8.65806314267929
"489",1669,168,4586.947058,8.4311879389499
"490",1670,162,306007.5017,12.6313681638819
"491",1677,168,11779.1069,9.37416753186729
"492",1678,162,4549.591261,8.42301245097508
"493",1684,140,2812.126323,7.94205171434258
"494",1688,85,0,0
"495",1690,168,10995.6742,9.30534816061036
"496",1691,162,607.7839652,6.41146346783005
"497",1694,142,258.0748519,5.55711702342098
"498",1698,168,32625.03262,10.3928657953118
"499",1699,162,33572.26693,10.4214854021888
"500",1699,190,0,0
"501",1704,78,0,0
"502",1706,168,8662.453614,9.06686872274946
"503",1707,162,3526.052277,8.1682177520712
"504",1711,79,0,0
"505",1711,138,25966.24776,10.1645913213742
"506",1712,78,0,0
"507",1714,168,2740.241851,7.91616632699626
"508",1717,139,92796.46281,11.4381745779911
"509",1719,79,0,0
"510",1720,92,0,0
"511",1720,162,22688.8236,10.0296718033937
"512",1720,187,1496.19862,7.3113510543093
"513",1722,140,1904.381585,7.55243757458863
"514",1726,162,3370.98128,8.12325576750491
"515",1726,187,1146.237312,7.0451119937237
"516",1727,168,18875.85711,9.84569195921103
"517",1728,162,152918.3162,11.9376657161812
"518",1728,191,2852.65783,7.95635689946872
"519",1729,187,0,0
"520",1734,138,30894.08314,10.3383523285418
"521",1739,138,469.4462521,6.15368171679334
"522",1746,135,38631.84501,10.5618581006316
"523",1752,142,78688.7416,11.2732680777519
"524",1759,80,0,0
"525",1762,138,1177.91069,7.07234614703201
